timestamp, arbitration id, extended, remote, error, dlc, data
1521401112.871897,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.872933,0xc,1,0,0,7,EwISARIiXA==
1521401112.877591,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.878639,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.879767,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.880806,0xc,1,0,0,7,EwISARIiXA==
1521401112.885435,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.886475,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.887611,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.888653,0xc,1,0,0,7,EwISARIiXA==
1521401112.892084,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.89314,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.894276,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.895317,0xc,1,0,0,7,EwISARIiXA==
1521401112.899537,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.900593,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.901727,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.902767,0xc,1,0,0,7,EwISARIiXA==
1521401112.906983,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.908053,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.909179,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.910219,0xc,1,0,0,7,EwISARIiXA==
1521401112.914484,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.915546,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.916681,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.917719,0xc,1,0,0,7,EwISARIiXA==
1521401112.921926,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.922987,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.924134,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.925166,0xc,1,0,0,7,EwISARIiXA==
1521401112.929382,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.930444,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.931597,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.932643,0xc,1,0,0,7,EwISARIiXA==
1521401112.936838,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.937888,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.939023,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.94007,0xc,1,0,0,7,EwISARIiXA==
1521401112.944278,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.945342,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.946478,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.947517,0xc,1,0,0,7,EwISARIiXA==
1521401112.948469,0x82,0,0,0,8,ABUTAAAUAMY=
1521401112.949141,0x81,0,0,0,4,FRMArQ==
1521401112.949814,0x80,0,0,0,4,BhUAnw==
1521401112.951766,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.952829,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.95398,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.955022,0xc,1,0,0,7,EwISARIiXA==
1521401112.959204,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.960259,0xd,1,0,0,7,AAAFAjIXUA==
1521401112.961396,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.962434,0xc,1,0,0,7,EwISARIiXA==
1521401112.96773,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.968788,0xd,1,0,0,7,AAAFAjIXUA==
1521401112.969926,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.970963,0xc,1,0,0,7,EwISARIiXA==
1521401112.974232,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.975288,0xd,1,0,0,7,AAAFAjIXUA==
1521401112.976425,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.977471,0xc,1,0,0,7,EwISARIiXA==
1521401112.981574,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.98263,0xd,1,0,0,7,AAAFAjIXUA==
1521401112.983767,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.984805,0xc,1,0,0,7,EwISARIiXA==
1521401112.989038,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.990093,0xd,1,0,0,7,AAAFAjIXUA==
1521401112.991242,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.992284,0xc,1,0,0,7,EwISARIiXA==
1521401112.996533,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.997595,0xd,1,0,0,7,AAAFAjIXUA==
1521401112.998737,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.999777,0xc,1,0,0,7,EwISARIiXA==
1521401113.003979,0x10,1,0,0,7,jzqOoxMB4w==
1521401113.005028,0xd,1,0,0,7,AAAFAjIWTw==
1521401113.006168,0x11,1,0,0,8,AJVgZAAP71c=
1521401113.007221,0xc,1,0,0,7,EwISARIiXA==
1521401113.011419,0x10,1,0,0,7,jzqOoxMB4w==
1521401113.012481,0xd,1,0,0,7,AAAFAjIWTw==
1521401113.013627,0x11,1,0,0,8,AJVgZAAP71c=
1521401113.014666,0xc,1,0,0,7,EwISARIiXA==
1521401113.018871,0x10,1,0,0,7,jzqOoxMB4w==
1521401113.019942,0xd,1,0,0,7,AAAFAjIWTw==
1521401113.021071,0x11,1,0,0,8,AJVgZAAP71c=
1521401113.022109,0xc,1,0,0,7,EwISARIiXA==
1521401113.026361,0x10,1,0,0,7,jzqOoxMB4w==
1521401113.027401,0xd,1,0,0,7,AAAFAjIWTw==
1521401113.028544,0x11,1,0,0,8,AJVgZAAP71c=
1521401113.029594,0xc,1,0,0,7,EwISARIiXA==
1521401113.033822,0x10,1,0,0,7,jzqOoxMB4w==
1521401113.034885,0xd,1,0,0,7,AAAFAjIWTw==
1521401113.036027,0x11,1,0,0,8,AJVgZAAP71c=
1521401113.037077,0xc,1,0,0,7,EwISARIiXA==
1521401113.041263,0x10,1,0,0,7,jzqOoxMB4w==
1521401113.042334,0xd,1,0,0,7,AAAFAjIWTw==
1521401113.043467,0x11,1,0,0,8,AJVgZAAP71c=
1521401113.044508,0xc,1,0,0,7,EwISARIiXA==
1521401113.048722,0x10,1,0,0,7,jzqOoxMB4w==
1521401113.049785,0xd,1,0,0,7,AAAFAjIWTw==
1521401113.050928,0x11,1,0,0,8,AJVgZAAP71c=
1521401113.051889,0x82,0,0,0,8,ABYTAAAUAMc=
1521401113.052927,0xc,1,0,0,7,EwISARIiXA==
1521401113.053591,0x81,0,0,0,4,FhMArg==
1521401113.054256,0x80,0,0,0,4,BRIAmw==
1521401113.056167,0x10,1,0,0,7,jzqOoxMB4w==
1521401113.05723,0xd,1,0,0,7,AAAFAjIWTw==
1521401113.058366,0x11,1,0,0,8,AJVgZAAP71c=
1521401113.059411,0xc,1,0,0,7,EwISARIiXA==
1521401113.063642,0x10,1,0,0,7,jzqOoxMB4w==
1521401113.0647,0xd,1,0,0,7,AAAFAjIWTw==
1521401113.065842,0x11,1,0,0,8,AJVgZAAP71c=
1521401113.06688,0xc,1,0,0,7,EwISARIiXA==
1521401113.071101,0x10,1,0,0,7,jzqOoxMB4w==
1521401113.072168,0xd,1,0,0,7,AAAFAjIWTw==
1521401113.073302,0x11,1,0,0,8,AJVgZAAP71c=
1521401113.074342,0xc,1,0,0,7,EwISARIiXA==
1521401113.07809,0x7e3,0,0,0,8,AgEBAAAAAAA=
1521401113.079111,0x10,1,0,0,7,jzqOoxMB4w==
1521401113.080172,0xd,1,0,0,7,AAAFAjIWTw==
1521401113.081311,0x11,1,0,0,8,AJVgZAAP71c=
1521401113.082351,0xc,1,0,0,7,EwISARIiXA==
1521401113.086634,0x10,1,0,0,7,jzqOoxMB4w==
1521401113.087704,0xd,1,0,0,7,AAAFAjIWTw==
1521401113.08884,0x11,1,0,0,8,AJVgZAAP71c=
1521401113.089879,0xc,1,0,0,7,EwISARIiXA==
1521401113.090873,0x7eb,0,0,0,8,A0EBAAAAAAA=
1521401113.093479,0x10,1,0,0,7,jzqOoxMB4w==
1521401113.094553,0xd,1,0,0,7,AAAFAjIXUA==
